id,name,address,city,latitude,longitude,amount,customers
1,98 Willoughby Check Cashing,98 Willoughby St,Brooklyn,40.69191,-73.984772,507832.32,5094
2,Farmingdale Check Cashing Co,9726 Seaview Ave,Brooklyn,40.634135,-73.888967,260320.09,130
3,Action Check Cashing Corp,9716 Church Ave,Brooklyn,40.656338,-73.913971,83784.18,9674
4,Pay-O-Matic,961 Pennsylvania Ave,Brooklyn,40.65499,-73.88777,2711.16,457
5,Cash Business Marketing & At,948 Dumont Ave,Brooklyn,40.667847,-73.883615,346972.82,9192
6,ABRS Check Cashing,946 4th Ave,Brooklyn,40.654713,-74.004494,365875.3,6216
7,Cash Business Marketing,933 Livonia Ave,Brooklyn,40.666484,-73.882812,788909.99,2218
8,Flatlands Check Cashing Corp,923 E 107th St,Brooklyn,40.64803,-73.892753,191851.16,5927
9,ABRS Check Cashing,92 Court St,Brooklyn,40.691179,-73.991713,127307.63,3103
10,M & B Check Cashing Corp,916 Utica Ave,Brooklyn,40.650646,-73.930327,573130.28,64
11,Ridge Check Cashing Corp,906 Fulton St,Brooklyn,40.683001,-73.964789,630311.17,9804
12,Bayhurst Check Cashing,9014 4th Ave,Brooklyn,40.619566,-74.029962,330112.21,8901
13,Cash Business Marketing,894 Myrtle Ave,Brooklyn,40.69561,-73.946795,319685.13,1349
14,Jem Group ATM,892 Dekalb Ave,Brooklyn,40.692404,-73.940228,758049.14,1045
15,Bush Capital,889 4th Ave,Brooklyn,40.655597,-74.002541,497795.84,1469
16,Ridge Check Cashing Corp,884 5th Ave,Brooklyn,40.651611,-74.003929,571614.29,7955
17,Fourth Avenue Check Cashing,88 4th Ave,Brooklyn,40.681814,-73.980459,267817.77,9082
18,Laser Check Cashing,88 4th Ave,Brooklyn,40.681814,-73.980459,82771.45,9728
19,Action Check Cashing,857 Bedford Ave,Brooklyn,40.694505,-73.956085,658100.8,794
20,Check Changers LLC,8405 20th Ave,Brooklyn,40.605625,-73.997135,98783.55,3392
21,Pay-O-Matic,840 Franklin Ave # A,Brooklyn,40.669361,-73.958755,704180.04,6666
22,Ridge Check Cashing Corp,84 Flatbush Ave,Brooklyn,40.685996,-73.979013,544358.32,8731
23,Pay-O-Matic,832 Washington Ave,Brooklyn,40.673138,-73.963211,869183.55,8408
24,Bayhurst Check Cashing,8317 5th Ave,Brooklyn,40.623016,-74.025002,279196.62,8652
25,Atlantic Amoco,811 Atlantic Ave,Brooklyn,40.68182,-73.967258,748635.48,8838
26,B & H Check Cashing,805 Grand St # A,Brooklyn,40.712132,-73.94117,237572.56,8847
27,Flatlands Check Cashing,8001 Flatlands Ave,Brooklyn,40.635589,-73.913367,708964.22,7089
28,Check Cashing Place,785 Broadway # 1,Brooklyn,40.700233,-73.940506,950327.77,9586
29,Quick Cash,782 Washington Ave,Brooklyn,40.674499,-73.963378,646571.9,3046
30,David's Money Ctr Of New Yor,752 New Lots Ave,Brooklyn,40.666122,-73.882673,794321.49,2869
31,Ridge Check Cashing Corp,7510 3rd Ave,Brooklyn,40.631193,-74.028176,364895.24,7423
32,Pay-O-Matic,75 Classon Ave,Brooklyn,40.697925,-73.961727,628428.49,4079
33,PLS Check Cashers,729 4th Ave,Brooklyn,40.661006,-73.997265,294217.74,6618
34,INB Check Cashing Svc Inc,727 Utica Ave,Brooklyn,40.65551,-73.930729,332836.55,4111
35,Csfc,713 Church Ave,Brooklyn,40.645817,-73.972763,547604.97,9083
36,Pay-O-Matic,706 Ralph Ave,Brooklyn,40.665507,-73.922423,44240.07,9176
37,Check Cashing Place,705 60th St,Brooklyn,40.636671,-74.01142,60954.03,5720
38,Check Cashing Place,7011 18th Ave,Brooklyn,40.615868,-73.993118,704258.24,3727
39,Cash Systems Efs Inc,690 5th Ave,Brooklyn,40.661682,-73.993408,432980.55,3129
40,Pay-O-Matic,687 Stanley Ave,Brooklyn,40.659622,-73.883407,575478.96,1092
41,Pls Check Cashing Corp,6817 4th Ave,Brooklyn,40.634705,-74.023148,229645.08,257
42,Cash Zone LLC,68 Jay St,Brooklyn,40.702778,-73.987129,247758.16,1877
43,Pay-O-Matic,653 Classon Ave # A,Brooklyn,40.677938,-73.958647,689291.54,4380
44,Ridge Check Cashing Corp,6516 Bay Pkwy,Brooklyn,40.613586,-73.982071,470369.58,6528
45,Quik Cash,643 Marcy Ave,Brooklyn,40.692505,-73.948575,797635.99,1466
46,Pay-O-Matic,642 Nostrand Ave # C,Brooklyn,40.676269,-73.949954,237709.43,6652
47,Kingston Check Cashing,6301 Fort Hamilton Pkwy,Brooklyn,40.631573,-74.007735,405795.7,5128
